URL,Series_name,Map,Soil subgroup UK,WRB_correlation_landgis,WRB_correlation_0,WRB_correlation_1,WRB_correlation_2
https://www.landis.org.uk/soilsguide/series.cfm?serno=045 ,4.11 AGARDSLEY (Ag) (45),,1 typical calcareous pelosols,Clayic Calcaric Endoskeletic Cambisols,Calcaric Endoskeletic Cambisols (Clayic),Calcaric Endoskeletic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=711,4.11 HASELOR (Hb) (711),,1 typical calcareous pelosols,Clayic Calcaric Endoskeletic Cambisols,Calcaric Endoskeletic Cambisols (Clayic),Calcaric Endoskeletic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1101,5.12 LANDBEACH (Lk) (1101),,2 gleyic brown calcareous earths,Calcaric Endogleyic Endoskeletic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=118,5.12 BIERTON (Bg) (118),,2 gleyic brown calcareous earths,Calcaric Endogleyic Endoskeletic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=176,5.12 BAMPTON (BV) (176),,2 gleyic brown calcareous earths,Calcaric Endogleyic Endoskeletic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=618,5.12 GROVE (Gv) (618),,2 gleyic brown calcareous earths,Calcaric Endogleyic Endoskeletic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=815,5.12 ICKFORD (iK) (815),,2 gleyic brown calcareous earths,Calcaric Endogleyic Endoskeletic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,Calcaric Endoskeletic Endogleyic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=042 ,5.32 AFON WEN (Av) (42),,2 gleyic brown calcareous alluvial soils,Calcaric Fluvic Endogleyic Cambisols,Calcaric Fluvic Endogleyic Cambisols,Calcaric Fluvic Endogleyic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1717,5.32 ROMNEY (R) (1717),,2 gleyic brown calcareous alluvial soils,Calcaric Fluvic Endogleyic Cambisols,Calcaric Fluvic Endogleyic Cambisols,Calcaric Fluvic Endogleyic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=175,5.32 BLACKTOFT (Bkt) (175),,2 gleyic brown calcareous alluvial soils,Calcaric Fluvic Endogleyic Cambisols,Calcaric Fluvic Endogleyic Cambisols,Calcaric Fluvic Endogleyic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=141,5.33 BRENZETT (B) (141),,3 pelogleyic brown calcareous alluvial soils,Fluvic Clayic Calcaric Endogleyic Cambisols,Calcaric Fluvic Endogleyic Cambisols (Clayic) ,Calcaric Fluvic Endogleyic Cambisols ,
https://www.landis.org.uk/soilsguide/series.cfm?serno=2007,5.33 UFFINGTON (Uf) (2007),,3 pelogleyic brown calcareous alluvial soils,Fluvic Clayic Calcaric Endogleyic Cambisols,Calcaric Fluvic Endogleyic Cambisols (Clayic) ,Calcaric Fluvic Endogleyic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1500,3.72 PADNEY (Po) (1500),,2 gleyic rendzina-like alluvial soils,Drainic Calcaric Fluvic Gelysols,Calcaric Fluvic Gelysols (Drainic),Calcaric Fluvic Gelysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=005,8.12 AGNEY (A) (5),,2 calcareous alluvial gley soils,Fluvic Calcaric Gleysols,Calcaric Fluvic Gleysols,Calcaric Fluvic Gleysols,
