number,filename.lst,d.lst
34,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/calcic.histosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Calcic.Histosols_p_
35,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/calcic.kastanozem.luvic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Calcic.Kastanozem.Luvic_p_
36,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/calcic.kastanozems_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Calcic.Kastanozems_p_
37,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/calcic.luvisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Calcic.Luvisols_p_
38,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/calcic.solonetz_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Calcic.Solonetz_p_
39,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/calcic.vertisols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Calcic.Vertisols_p_
40,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/calcic.vertisols.humic_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Calcic.Vertisols.Humic_p_
41,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/cambic.cryosols_wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Cambic.Cryosols_p_
42,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/cambic.endoleptic.phaeozems..loamic._wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Cambic.EndoLeptic.Phaeozems..Loamic._p_
43,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/cambic.phaeozems..loamic._wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Cambic.Phaeozems..Loamic._p_
44,https://s3.eu-central-1.wasabisys.com/openlandmap/sol/cambic.phaeozems..pachic..loamic._wrb2020_p_1km_s_1980_2020_go_epsg.4326_v20230411.tif,Cambic.Phaeozems..Pachic..Loamic._p_
